,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Year,Month,Day
0,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
9,Albury,1.4,4.8,8.5,W,28.0,S,SSE,15.0,11.0,58.0,27.0,1007.0,1005.7,5.0,5.0,20.1,28.2,Yes,2008.0,12.0,10.0
3011,BadgerysCreek,0.0,4.8,8.5,W,61.0,NNE,SE,11.0,19.0,67.0,52.0,1005.6,1015.2,5.0,5.0,21.0,21.1,No,2009.0,1.0,1.0
3022,BadgerysCreek,0.0,4.8,8.5,ESE,37.0,SW,ESE,4.0,22.0,78.0,50.0,1016.0,1015.8,5.0,5.0,21.2,27.7,Yes,2009.0,1.0,12.0
5939,Cobar,0.0,4.8,8.5,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,No,2009.0,1.0,1.0
5958,Cobar,0.0,4.8,8.5,W,59.0,N,NW,19.0,17.0,54.0,14.0,1011.1,1008.5,1.0,7.0,27.0,37.0,Yes,2009.0,1.0,20.0
8927,CoffsHarbour,0.0,7.4,8.5,NNE,54.0,N,NNE,7.0,37.0,51.0,58.0,1005.9,1002.3,1.0,5.0,26.5,28.4,No,2009.0,1.0,1.0
8929,CoffsHarbour,0.0,3.4,8.5,SE,35.0,SE,E,20.0,19.0,70.0,59.0,1019.3,1018.8,8.0,7.0,21.7,23.7,Yes,2009.0,1.0,3.0
11880,Moree,0.0,4.8,9.3,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,6.0,8.0,28.9,37.4,No,2009.0,1.0,1.0
11889,Moree,0.0,4.8,8.5,SW,39.0,N,N,13.0,9.0,51.0,29.0,1012.0,1007.3,2.0,5.0,21.1,30.4,Yes,2009.0,1.0,10.0
